,name,latitude,longitude,city
99,Faver Loc. Portegnago,46.197033,11.246629,Trentino
100,Valda-Capitello,46.20707,11.262063,Trentino
101,Valda,46.206785,11.266459,Trentino
102,Grumes,46.221664,11.293926,Trentino
103,Grauno,46.229416,11.29825,Trentino
104,Capriana-Case Nuove,46.261034,11.339907,Trentino
105,Capriana,46.26279,11.33945,Trentino
106,Capriana Albergo Miravalle,46.262058,11.343987,Trentino
107,Carbonare-Rover,46.266759,11.35174,Trentino
108,Stramentizzo Bivio,46.266506,11.406481,Trentino
109,Molina di Fiemme-Scuole,46.272943,11.417691,Trentino
110,Molina di F. Via Segherie,46.272417,11.424248,Trentino
111,Molina di Fiemme Chiesa,46.274183,11.416701,Trentino
112,Castello di Fiemme-Conc.Fiat,46.278943,11.430131,Trentino
113,Castello di Fiemme,46.281234,11.434746,Trentino
114,Molina di Fiemme Via Segherie,46.27241,11.424118,Trentino
115,Grumes,46.221406,11.294187,Trentino
116,Faver,46.18119,11.236667,Trentino
117,Fadana,46.178186,11.225986,Trentino
118,Cembra,46.175121,11.22204,Trentino
119,Lisignago,46.160228,11.187881,Trentino
120,Ceola,46.15959,11.170862,Trentino
121,Verla,46.157152,11.152806,Trentino
122,Lavis Via Bresadola,46.143962,11.112741,Trentino
123,Lavis Via Cembra 16,46.142758,11.105019,Trentino
124,Lamar di Gardolo-Ss.12-Ftm,46.125857,11.107857,Trentino
125,Gardolo-Ss.12,46.108391,11.108627,Trentino
126,Gardolo Cicli Moser,46.102642,11.110465,Trentino
127,Casatta di Valfloriana,46.250382,11.344527,Trentino
128,Barcatta,46.250423,11.349653,Trentino
129,Villaggio Italo-Svizzero,46.247856,11.346655,Trentino
130,Dora',46.251864,11.355629,Trentino
131,Palu' di Sicina,46.256918,11.363011,Trentino
132,Casanova di Sicina,46.241994,11.349804,Trentino
133,Valle,46.238606,11.351276,Trentino
134,Montalbiano,46.234427,11.355128,Trentino
135,Sicina,46.230006,11.358746,Trentino
136,Trento Via Giusti,46.062657,11.119007,Trentino
137,Trento Via V.Veneto,46.057701,11.119288,Trentino
138,Trento Via Lorenzoni,46.05838,11.12296,Trentino
139,Trento Via S.Francesco,46.066636,11.126199,Trentino
140,Montesover,46.217085,11.327081,Trentino
141,Montesover-Strada Vernera,46.218167,11.326636,Trentino
142,Montesover-Strada Vernera 17,46.21739,11.32414,Trentino
143,Montesover-Carrozzeria,46.215298,11.328098,Trentino
144,Sveseri Bivio,46.207641,11.327802,Trentino
145,Piazzoli,46.21426,11.323606,Trentino
146,Facendi,46.214916,11.321416,Trentino
147,Sover,46.223892,11.312413,Trentino
148,Nave S.Felice,46.164603,11.112264,Trentino
149,Sorni Bivio,46.174975,11.122027,Trentino
150,Sorni,46.173837,11.120534,Trentino
151,Nave S.Felice,46.166611,11.112919,Trentino
152,Cavalese-Case Itea,46.289446,11.469194,Trentino
153,Marco di Cavalese,46.290187,11.476965,Trentino
154,Masi-Campo Sportivo,46.283461,11.480803,Trentino
155,Masi di Cavalese,46.283212,11.485244,Trentino
156,Masi-Via Chiesa Civ.118,46.284433,11.489103,Trentino
157,Marco di Cavalese,46.290229,11.477097,Trentino
158,Cavalese-Case Itea,46.289558,11.469406,Trentino
159,Carano Via Giovanelli 11,46.292293,11.442654,Trentino
160,Carano Municipio,46.292223,11.440482,Trentino
161,Carano,46.291791,11.438788,Trentino
162,Carano Via Giovanelli,46.289851,11.438585,Trentino
163,Carano Garnì Belvedere,46.287394,11.43585,Trentino
164,Villaggio Veronza Bv.Pizzeria,46.287844,11.428645,Trentino
165,Villaggio Veronza Via Pale,46.28877,11.431444,Trentino
166,V.Veronza H.Veronza,46.289866,11.433196,Trentino
167,Trento Via Valsugana,46.068328,11.136284,Trentino
168,Ponte Alto,46.073788,11.150435,Trentino
169,Pinè Bivio,46.081906,11.194966,Trentino
170,Sille,46.086064,11.202928,Trentino
171,Madrano-Belvedere,46.084669,11.210385,Trentino
172,Madrano,46.085925,11.214309,Trentino
173,Madrano Via Della Vizza,46.091339,11.212176,Trentino
174,Nogare',46.103925,11.211295,Trentino
175,S.Mauro-Bivio,46.116608,11.222359,Trentino
176,Tressilla,46.128797,11.237223,Trentino
177,Baselga Municipio,46.130018,11.243837,Trentino
178,Baselga di Pine'-Lago,46.135502,11.249832,Trentino
179,Sternigo Bivio,46.141639,11.257918,Trentino
180,Rizzolaga,46.146548,11.264075,Trentino
181,Campolongo,46.149595,11.269497,Trentino
182,Piazze Bivio,46.155594,11.278557,Trentino
183,Piazze di Bedollo,46.155637,11.288073,Trentino
184,Castellani-Regnana Bivio,46.15977,11.298662,Trentino
185,Centrale di Bedollo,46.160829,11.302257,Trentino
186,Bedollo,46.164986,11.301338,Trentino
187,Bedollo Bivio,46.170025,11.312436,Trentino
188,Bedollo Villaggio,46.17291,11.317048,Trentino
189,Brusago-Via Verdi,46.175773,11.321437,Trentino
190,Brusago,46.182124,11.325856,Trentino
191,Brusago-Civ. 4,46.186574,11.32959,Trentino
192,Brusago-Maso Gabart,46.194275,11.327783,Trentino
193,Sette Fontane Bivio,46.199009,11.327735,Trentino
194,Sveseri,46.206442,11.323661,Trentino
195,Bedollo,46.164987,11.301522,Trentino
196,Piazze di Bedollo,46.155859,11.287329,Trentino
197,Campolongo,46.149607,11.269109,Trentino
198,Pinè Bivio,46.081958,11.196437,Trentino
199,Ponte Alto,46.073949,11.150313,Trentino
200,Trento Port'aquila,46.069729,11.128322,Trentino
201,Trento Via Perini,46.060824,11.124149,Trentino
202,Civezzano-Centro Europa,46.083653,11.19816,Trentino
203,Civezzano-Quadrivio,46.090069,11.185165,Trentino
204,Civezzano,46.09187,11.18317,Trentino
205,Cirè-Superstrada,46.077734,11.204082,Trentino
206,Torchio,46.090706,11.197405,Trentino
207,Cogatti,46.09381,11.197011,Trentino
208,Seregnano,46.094473,11.20044,Trentino
209,Roverè,46.090453,11.193243,Trentino
210,Bampi Bivio,46.093748,11.190637,Trentino
211,Barbaniga,46.101737,11.186336,Trentino
212,S.Agnese,46.106352,11.183638,Trentino
213,S.Agnese Via Delle Scornie,46.10652,11.186155,Trentino
214,Mazzanigo,46.103636,11.189191,Trentino
215,Penedallo Via Alle Praderie,46.102448,11.192425,Trentino
216,Penedallo,46.101015,11.192549,Trentino
217,Bosco di Civezzano,46.111066,11.170987,Trentino
218,Bosco-Loc. Canova,46.113878,11.175537,Trentino
219,Torchio-S.P. 71,46.091408,11.198339,Trentino
220,Valle Fornace,46.111868,11.210359,Trentino
221,Fornace Bivio,46.119113,11.216113,Trentino
222,Fornace,46.118059,11.208109,Trentino
223,Fornace-Via Dei Pradolini 4,46.120276,11.208418,Trentino
224,S.Stefano,46.128532,11.212036,Trentino
225,Fornace-Maso Donati,46.12044,11.216452,Trentino
226,Lases,46.143537,11.21887,Trentino
227,Albiano Via Roma Civ.35,46.143815,11.198962,Trentino
228,Albiano,46.144616,11.193775,Trentino
229,Albiano Via S.Antonio 54,46.146255,11.190461,Trentino
230,Albiano Via S.Antonio 90,46.148465,11.187402,Trentino
231,Lases-Civ. 30,46.144612,11.219167,Trentino
232,Lases-Loc. Ronc Del Mela,46.149543,11.221567,Trentino
233,Lona-Via Provinciale,46.156074,11.230499,Trentino
234,Lona,46.160391,11.234801,Trentino
235,Lona-Loc. Piazzole,46.162898,11.24096,Trentino
236,Sevignano,46.170788,11.247115,Trentino
237,Piazzo di Segonzano Bivio,46.180042,11.257961,Trentino
238,Scancio di Segonzano,46.187469,11.258369,Trentino
239,Scancio di Segonzano-Snack Bar,46.191891,11.25959,Trentino
240,Scancio di Segonzano Mad.Aiuto,46.196167,11.258609,Trentino
241,Gaggio/Gresta Bivio,46.207793,11.286814,Trentino
242,Valcava Bivio,46.217869,11.305171,Trentino
243,Sover-Bar Vittoria,46.221405,11.314759,Trentino
