,name,address,city,latitude,longitude
75, Piscina,via Udine / zona est parcheggio,Trento,45.88448178574327,11.033685347067877
76, Baldresca,via della Roggia,Trento,45.88053460157242,11.028776764869692
77, Follone,piazza Achille Leoni,Trento,45.88894773828992,11.039403676986696
78, Cimitero,via Parteli,Trento,45.8966643647806,11.037163734508797
79, Polo Meccatronica,via Fortunato Zeni,Trento,45.89121790929269,11.032655239105226
80, Lizzanella,piazza S. Antonio,Trento,45.87547789137215,11.032939553260803
81, Cartiera,via Cartiera / uffici comunali,Trento,45.88633393965923,11.055679321289064
82, Ex Marangoni,via Benacense,Trento,45.87380650063865,11.029851321006005
83, Volano,via Santa Maria,Trento,45.91706816204346,11.06046438217163
84, Pomarolo,via Maggiore Adami,Trento,45.92807279583084,11.042761802673342
85, Villa Lagarina,piazzetta Scrinzi,Trento,45.91590002767766,11.03129804134369
86, Piazzo,via Giardini / via Oriola,Trento,45.92213974462065,11.03357791900635
87, Nogaredo,via delle Zuccate / via San Biagio,Trento,45.911891609710565,11.024941205978395
88, Isera,piazza San Vincenzo,Trento,45.88531079070144,11.009652614593506
89, Cornalè,via Cornalè,Trento,45.88170348017418,11.010982990264894
90, Mori,piazza Cal di Ponte,Trento,45.85205940010957,10.97732126712799
