Name,Latitude,Longitude,City,Address,Phone_number,id
Radio Taxi Trento,46.045153,11.128083,Trento,"Via Degasperi, 27",+39 0461 930002,taxi0
Taxi Mezzocorona,46.208128,11.123973,Trento,"Via del Teroldego, 44, 38016 Mezzocorona TN",348 225 2140,taxi1
Adige Taxi Rovereto,45.911083,11.040613,Rovereto,"Via Giovanni Ida Giovannini, 3, 38068 Rovereto TN",0464 19819,taxi2
