name,latitude,longitude,city,id
Cembra-Loc.Molini,46.180272,11.228393,Trentino,bus_stop95
Faver Bivio,46.18096,11.231877,Trentino,bus_stop96
Faver,46.181717,11.23779,Trentino,bus_stop97
Faver-Ufficio Postale,46.183756,11.24075,Trentino,bus_stop98
Faver Loc. Portegnago,46.197033,11.246629,Trentino,bus_stop99
Valda-Capitello,46.20707,11.262063,Trentino,bus_stop100
Valda,46.206785,11.266459,Trentino,bus_stop101
Grumes,46.221664,11.293926,Trentino,bus_stop102
Grauno,46.229416,11.29825,Trentino,bus_stop103
Capriana-Case Nuove,46.261034,11.339907,Trentino,bus_stop104
Capriana,46.26279,11.33945,Trentino,bus_stop105
Capriana Albergo Miravalle,46.262058,11.343987,Trentino,bus_stop106
Carbonare-Rover,46.266759,11.35174,Trentino,bus_stop107
Stramentizzo Bivio,46.266506,11.406481,Trentino,bus_stop108
Molina di Fiemme-Scuole,46.272943,11.417691,Trentino,bus_stop109
Molina di F. Via Segherie,46.272417,11.424248,Trentino,bus_stop110
Molina di Fiemme Chiesa,46.274183,11.416701,Trentino,bus_stop111
Castello di Fiemme-Conc.Fiat,46.278943,11.430131,Trentino,bus_stop112
Castello di Fiemme,46.281234,11.434746,Trentino,bus_stop113
Molina di Fiemme Via Segherie,46.27241,11.424118,Trentino,bus_stop114
Grumes,46.221406,11.294187,Trentino,bus_stop115
Faver,46.18119,11.236667,Trentino,bus_stop116
Fadana,46.178186,11.225986,Trentino,bus_stop117
Cembra,46.175121,11.22204,Trentino,bus_stop118
Lisignago,46.160228,11.187881,Trentino,bus_stop119
Ceola,46.15959,11.170862,Trentino,bus_stop120
Verla,46.157152,11.152806,Trentino,bus_stop121
Lavis Via Bresadola,46.143962,11.112741,Trentino,bus_stop122
Lavis Via Cembra 16,46.142758,11.105019,Trentino,bus_stop123
Lamar di Gardolo-Ss.12-Ftm,46.125857,11.107857,Trentino,bus_stop124
Gardolo-Ss.12,46.108391,11.108627,Trentino,bus_stop125
Gardolo Cicli Moser,46.102642,11.110465,Trentino,bus_stop126
Casatta di Valfloriana,46.250382,11.344527,Trentino,bus_stop127
Barcatta,46.250423,11.349653,Trentino,bus_stop128
Villaggio Italo-Svizzero,46.247856,11.346655,Trentino,bus_stop129
Dora',46.251864,11.355629,Trentino,bus_stop130
Palu' di Sicina,46.256918,11.363011,Trentino,bus_stop131
Casanova di Sicina,46.241994,11.349804,Trentino,bus_stop132
Valle,46.238606,11.351276,Trentino,bus_stop133
Montalbiano,46.234427,11.355128,Trentino,bus_stop134
Sicina,46.230006,11.358746,Trentino,bus_stop135
Trento Via Giusti,46.062657,11.119007,Trentino,bus_stop136
Trento Via V.Veneto,46.057701,11.119288,Trentino,bus_stop137
Trento Via Lorenzoni,46.05838,11.12296,Trentino,bus_stop138
Trento Via S.Francesco,46.066636,11.126199,Trentino,bus_stop139
Montesover,46.217085,11.327081,Trentino,bus_stop140
Montesover-Strada Vernera,46.218167,11.326636,Trentino,bus_stop141
Montesover-Strada Vernera 17,46.21739,11.32414,Trentino,bus_stop142
Montesover-Carrozzeria,46.215298,11.328098,Trentino,bus_stop143
Sveseri Bivio,46.207641,11.327802,Trentino,bus_stop144
Piazzoli,46.21426,11.323606,Trentino,bus_stop145
Facendi,46.214916,11.321416,Trentino,bus_stop146
Sover,46.223892,11.312413,Trentino,bus_stop147
Nave S.Felice,46.164603,11.112264,Trentino,bus_stop148
Sorni Bivio,46.174975,11.122027,Trentino,bus_stop149
Sorni,46.173837,11.120534,Trentino,bus_stop150
Nave S.Felice,46.166611,11.112919,Trentino,bus_stop151
Cavalese-Case Itea,46.289446,11.469194,Trentino,bus_stop152
Marco di Cavalese,46.290187,11.476965,Trentino,bus_stop153
Masi-Campo Sportivo,46.283461,11.480803,Trentino,bus_stop154
Masi di Cavalese,46.283212,11.485244,Trentino,bus_stop155
Masi-Via Chiesa Civ.118,46.284433,11.489103,Trentino,bus_stop156
Marco di Cavalese,46.290229,11.477097,Trentino,bus_stop157
Cavalese-Case Itea,46.289558,11.469406,Trentino,bus_stop158
Carano Via Giovanelli 11,46.292293,11.442654,Trentino,bus_stop159
Carano Municipio,46.292223,11.440482,Trentino,bus_stop160
Carano,46.291791,11.438788,Trentino,bus_stop161
Carano Via Giovanelli,46.289851,11.438585,Trentino,bus_stop162
Carano Garnì Belvedere,46.287394,11.43585,Trentino,bus_stop163
Villaggio Veronza Bv.Pizzeria,46.287844,11.428645,Trentino,bus_stop164
Villaggio Veronza Via Pale,46.28877,11.431444,Trentino,bus_stop165
V.Veronza H.Veronza,46.289866,11.433196,Trentino,bus_stop166
Trento Via Valsugana,46.068328,11.136284,Trentino,bus_stop167
Ponte Alto,46.073788,11.150435,Trentino,bus_stop168
Pinè Bivio,46.081906,11.194966,Trentino,bus_stop169
Sille,46.086064,11.202928,Trentino,bus_stop170
Madrano-Belvedere,46.084669,11.210385,Trentino,bus_stop171
Madrano,46.085925,11.214309,Trentino,bus_stop172
Madrano Via Della Vizza,46.091339,11.212176,Trentino,bus_stop173
Nogare',46.103925,11.211295,Trentino,bus_stop174
S.Mauro-Bivio,46.116608,11.222359,Trentino,bus_stop175
Tressilla,46.128797,11.237223,Trentino,bus_stop176
Baselga Municipio,46.130018,11.243837,Trentino,bus_stop177
Baselga di Pine'-Lago,46.135502,11.249832,Trentino,bus_stop178
Sternigo Bivio,46.141639,11.257918,Trentino,bus_stop179
Rizzolaga,46.146548,11.264075,Trentino,bus_stop180
Campolongo,46.149595,11.269497,Trentino,bus_stop181
Piazze Bivio,46.155594,11.278557,Trentino,bus_stop182
Piazze di Bedollo,46.155637,11.288073,Trentino,bus_stop183
Castellani-Regnana Bivio,46.15977,11.298662,Trentino,bus_stop184
Centrale di Bedollo,46.160829,11.302257,Trentino,bus_stop185
Bedollo,46.164986,11.301338,Trentino,bus_stop186
Bedollo Bivio,46.170025,11.312436,Trentino,bus_stop187
Bedollo Villaggio,46.17291,11.317048,Trentino,bus_stop188
Brusago-Via Verdi,46.175773,11.321437,Trentino,bus_stop189
Brusago,46.182124,11.325856,Trentino,bus_stop190
Brusago-Civ. 4,46.186574,11.32959,Trentino,bus_stop191
Brusago-Maso Gabart,46.194275,11.327783,Trentino,bus_stop192
Sette Fontane Bivio,46.199009,11.327735,Trentino,bus_stop193
Sveseri,46.206442,11.323661,Trentino,bus_stop194
Bedollo,46.164987,11.301522,Trentino,bus_stop195
Piazze di Bedollo,46.155859,11.287329,Trentino,bus_stop196
Campolongo,46.149607,11.269109,Trentino,bus_stop197
Pinè Bivio,46.081958,11.196437,Trentino,bus_stop198
Ponte Alto,46.073949,11.150313,Trentino,bus_stop199
Trento Port'aquila,46.069729,11.128322,Trentino,bus_stop200
Trento Via Perini,46.060824,11.124149,Trentino,bus_stop201
Civezzano-Centro Europa,46.083653,11.19816,Trentino,bus_stop202
Civezzano-Quadrivio,46.090069,11.185165,Trentino,bus_stop203
Civezzano,46.09187,11.18317,Trentino,bus_stop204
Cirè-Superstrada,46.077734,11.204082,Trentino,bus_stop205
Torchio,46.090706,11.197405,Trentino,bus_stop206
Cogatti,46.09381,11.197011,Trentino,bus_stop207
Seregnano,46.094473,11.20044,Trentino,bus_stop208
Roverè,46.090453,11.193243,Trentino,bus_stop209
Bampi Bivio,46.093748,11.190637,Trentino,bus_stop210
Barbaniga,46.101737,11.186336,Trentino,bus_stop211
S.Agnese,46.106352,11.183638,Trentino,bus_stop212
S.Agnese Via Delle Scornie,46.10652,11.186155,Trentino,bus_stop213
Mazzanigo,46.103636,11.189191,Trentino,bus_stop214
Penedallo Via Alle Praderie,46.102448,11.192425,Trentino,bus_stop215
Penedallo,46.101015,11.192549,Trentino,bus_stop216
Bosco di Civezzano,46.111066,11.170987,Trentino,bus_stop217
Bosco-Loc. Canova,46.113878,11.175537,Trentino,bus_stop218
Torchio-S.P. 71,46.091408,11.198339,Trentino,bus_stop219
Valle Fornace,46.111868,11.210359,Trentino,bus_stop220
